id,districtname,admtotal,generalfundexpends,perpupilexpends,avgteachersalary,readingproficiency,total_enroll,female_pct,male_pct,aian_pct,asian_pct,nhpi_pct,hisla_pct,black_pct,white_pct,twomo_pct,meals_pct,medianhouseincome,mhi_marginoferror,nocomp_cnt,nocomp_pct,yescomp_cnt,yescomp_pct,nointernet_cnt,nointernet_pct,yesinternet_cnt,yesinternet_pct,lat,lng
2799999,State of Minnesota,868137.24,9638187419,11102.15,61362,59.17428571,889304,48.49,51.51,1.67,6.86,0.09,9.53,11.2,65.7,4.95,36.38,68437,277,208684,8.79284047,2164656,91.20715953,283696,11.58722275,2164656,88.41277725,46.7296,-94.6859
2702760,Aitkin Public School District,1177.69,12036522,10220.45,55454,57.6385714,1186,47.39,52.61,0.59,0.42,0,1.52,1.26,92.92,3.29,44.52,46644,2980,741,13.83495146,4615,86.16504854,1076,18.90704621,4615,81.09295379,46.5641443,-93.6489304
2721240,Minneapolis Public School District,34088.09,439046660,12879.77,70659,46.48,35580,48.65,51.35,3.01,5.02,0.11,17.37,35.3,35.36,3.83,56.9,59005,1085,14852,7.869651609,173873,92.13034839,22649,11.52491833,173873,88.47508167,44.9633242,-93.2683198
2714010,Hill City Public School District,264.67,3787461,14310.13,55552,46.2828571,267,50.19,49.81,3.37,0,0,2.62,0,88.77,5.24,62.92,41912,5163,124,14.3187067,742,85.6812933,196,20.89552239,742,79.10447761,46.9527982,-93.5237792
2719170,McGregor Public School District,464.3,5596677,12054.01,50071,49.2585714,480,47.08,52.92,22.71,0.42,0,0.83,0.21,74.37,1.46,41.25,47569,2487,315,13.22418136,2067,86.77581864,457,18.10618067,2067,81.89381933,46.577144,-93.2387416
2733270,South St. Paul Public School District,3419.29,34984783,10231.59,65558,45.0614286,3548,48.31,51.69,0.76,2.14,0,27.11,7.69,54.41,7.89,50.06,61228,3021,898,10.13887321,7959,89.86112679,1097,12.1135159,7959,87.8864841,44.8880271,-93.0404974
2703180,Anoka-Hennepin Public School District,38121.71,427741016,11220.4,70407,65.0485714,38802,48.35,51.65,0.7,7.84,0.11,5.98,12.07,67.99,5.31,32.38,82438,1426,5266,5.78522384,85759,94.21477616,7537,8.078588578,85759,91.92141142,45.2173219,-93.3334627
2708100,Centennial Public School District,6575.93,71503817,10873.57,66703,68.8528571,6740,49.01,50.99,0.36,5.25,0.07,5.16,3.84,80.65,4.67,16.23,96006,3549,545,4.690592994,11074,95.30940701,705,5.985227948,11074,94.01477205,45.15546,-93.106858
2709510,Columbia Heights Public School District,3457.95,34927109,10100.52,66754,35.0957143,3398,48.97,51.03,1.09,4.36,0.06,33.99,35.29,17.85,7.36,72.81,54132,2026,1549,12.85904035,10497,87.14095965,1888,15.24424707,10497,84.75575293,45.0522498,-93.2538287
2712420,Fridley Public School District,2899.39,33593832,11586.52,62370,44.1814286,3039,48.57,51.43,1.12,6.88,0,12.87,36.16,35.43,7.54,64.53,58097,4585,505,7.680608365,6070,92.31939163,617,9.226858083,6070,90.77314192,45.0846155,-93.2592376
2733540,St. Francis Public School District,4356.21,42954903,9860.61,62596,60.7257143,4547,48.14,51.86,0.86,3.74,0.02,3.87,1.03,85.2,5.28,26.68,87975,3059,553,4.638872578,11368,95.36112742,907,7.389002037,11368,92.61099796,45.3804629,-93.3313746
2733330,Spring Lake Park Public Schools,5976.6,56496807,9453,58378,56.4728571,6096,49.62,50.38,0.51,8.32,0.23,15.5,11.78,56.34,7.32,34.51,70404,3859,1221,8.969367516,12392,91.03063248,1402,10.16383935,12392,89.83616065,45.1448127,-93.2105141
2710230,Detroit Lakes Public School District,2994.25,31624477,10561.74,57512,61.0257143,3047,48.38,51.62,9.94,0.89,0,2.3,1.12,75.22,10.53,36.82,59040,3423,919,11.15968427,7316,88.84031573,1112,13.19411486,7316,86.80588514,46.923596,-95.7837481
2712360,Frazee-Vergas Public School District,912.34,9788592,10729.11,56773,61.6714286,904,49.34,50.66,7.3,0.11,0,2.99,0.44,85.51,3.65,45.58,60299,2699,403,14.12053259,2451,85.87946741,511,17.25185685,2451,82.74814315,46.8118024,-95.5747638
2728960,Pine Point Public School District,63.53,1431696,22535.75,56935,28.635,59,59.32,40.68,100,0,0,0,0,0,0,91.53,26313,573,15,12,110,88,21,16.03053435,110,83.96946565,46.9975863,-95.3953881
2704440,Bemidji Public School District,5044.73,57707180,11439.1,63506,55.5557143,5230,46.75,53.25,16.98,0.73,0.08,1.95,1.38,71.02,7.86,47.23,51640,2436,1655,9.885318361,15087,90.11468164,2151,12.47824574,15087,87.52175426,47.5133401,-94.9334162
2705730,Blackduck Public School District,655.95,7002715,10675.68,52621,48.21,674,48.07,51.93,14.39,0.3,0,2.52,0.59,79.83,2.37,58.01,48125,3487,228,13.09592188,1513,86.90407812,346,18.61215707,1513,81.38784293,47.6928832,-94.5782797
2717010,Kelliher Public School District,276.55,4739154,17136.7,54089,44.6985714,285,49.12,50.88,48.42,0,0,0.7,1.05,49.83,0,75.44,43542,7186,78,15.75757576,417,84.24242424,89,17.58893281,417,82.41106719,48.2086227,-94.6516094
2730510,Red Lake Public School District,1473.35,30482917,20689.53,54398,24.03,1497,47.36,52.64,99.73,0,0,0.07,0,0,0.2,79.02,35919,3062,443,23.31578947,1457,76.68421053,582,28.54340363,1457,71.45659637,47.8701514,-95.181105
2732880,Sauk Rapids-Rice Public Schools,4517.87,44715087,9897.38,59904,57.2685714,4647,49.45,50.55,0.45,1.31,0.11,3.96,3.53,86.27,4.37,31.57,57732,3349,1051,9.805933943,9667,90.19406606,1288,11.7571885,9667,88.2428115,45.6964078,-94.1242691
2712240,Foley Public School District,1933.09,18546832,9594.4,58363,69.26,1964,49.03,50.97,0.46,0.2,0.05,0.92,0.31,96.79,1.27,28.67,71617,3141,477,12.31285493,3397,87.68714507,655,16.16485686,3397,83.83514314,45.709067,-93.914815
2733480,St. Clair Public School District,661.98,6180560,9336.48,53243,60.0714286,666,50.75,49.25,0,0,0.15,0.75,0,97.3,1.8,16.52,76795,5153,82,7.635009311,992,92.36499069,100,9.157509158,992,90.84249084,44.0826578,-93.8714048
2718780,Mankato Public School District,8656.15,87845043,10148.28,59706,64.1842857,8799,47.19,52.81,0.33,2.07,0.13,6.28,11.86,74.97,4.36,34.61,54846,2357,2110,7.501688769,26017,92.49831123,2931,10.12505182,26017,89.87494818,44.1836039,-93.9750867
2709540,Comfrey Public School District,146.94,1910965,13005.07,50694,59.6433333,148,52.03,47.97,0,0,0,8.11,0,89.19,2.7,45.95,58214,9037,67,14.16490486,406,85.83509514,109,21.16504854,406,78.83495146,44.100034,-94.9100641
