GEOID,NAME,LAT,LON
2727001,Park Rapids Public School District in Pine Point (9-12),46.9975863,-95.3953881
2727002,Clinton-Graceville-Beardsley-Wheaton-Sisseton/Wilmot (SD) in Browns Valley (9-12),45.6513049,-96.7505553
2727003,Minneota-Ivanhoe Public School Districts in Ivanhoe (7-12),44.4676054,-96.2310757
2727004,Marshall-Minneota-RTR Public Schools in Lynd (9-12),44.4033052,-95.9276237
2727005,Marshall-Tracy Public Schools in Milroy (9-12),44.4344146,-95.5307389
2727006,Heron Lake-Okabena-Fulda-Worthington in Round Lake-Brewster (9-12),43.6340199,-95.4732115
2799001,Elkton School District 05-3 in Lake Benton (7-12),44.2915588,-96.3335852
2700388,Round Lake-Brewster Public Schools,43.6340199,-95.4732115
2707110,Browns Valley Public School District,45.6513049,-96.7505553
2715540,Ivanhoe Public School District,44.4676054,-96.2310757
2717460,Lake Benton Public School District,44.2915588,-96.3335852
2718390,Lynd Public School District,44.4033052,-95.9276237
2721210,Milroy Public School District,44.4344146,-95.5307389
2728960,Pine Point Public School District,46.9975863,-95.3953881
2709440,Rocori Public School District,45.4665725,-94.4613449
2709540,Comfrey Public School District,44.100034,-94.9100641
2723010,Mountain Lake Public Schools,43.9386145,-94.9535831
2705430,Bertha-Hewitt Public School District,46.2454425,-95.0755683
2700022,Wadena-Deer Creek School District,46.434274,-95.1865091
2706300,Browerville Public School District,46.0997576,-94.8787597
2720580,Menahga Public School District,46.7762045,-95.1015948
2712360,Frazee-Vergas Public School District,46.8118024,-95.5747638
2728230,Perham-Dent Public School District,46.5746195,-95.6476793
2740830,Underwood Public School District,46.312269,-95.8754669
2720550,Melrose Public School District,45.6484138,-94.7833726
2738280,Swanville Public School District,45.9464225,-94.6396887
2728350,Pillager Public School District,46.3477855,-94.4646279
2717010,Kelliher Public School District,48.2086227,-94.6516094
2700109,Long Prairie-Grey Eagle School District,45.9300277,-94.8429574
2740860,Upsala Public School District,45.8246278,-94.5295989
2723580,Nicollet Public School District,44.3081121,-94.2074868
2741850,Warroad Public School District,48.9739301,-95.0293359
2703060,Alexandria Public School District,45.9152584,-95.3865271
2713380,Hancock Public School District,45.4815319,-95.7983009
2732850,Sauk Centre Public School District,45.7351279,-95.0002673
2700126,Ada-Borup Public School District,47.291103,-96.5239017
2710260,Dilworth-Glyndon-Felton,46.9549953,-96.550747
2728170,Pelican Rapids Public School District,46.5793316,-96.0610243
2791448,Norman County West School District,47.320977,-96.7645873
2704470,Benson Public School District,45.3055884,-95.6142136
2700105,Belgrade-Brooten-Elrosa Public School District,45.4636,-95.0949723
2721420,Moorhead Public School District,46.8979991,-96.7204655
2740810,Ulen-Hitterdal Public School District,47.0571296,-96.2474296
2700162,Lake Park Audubon School District,46.8693853,-96.0612805
2700326,Tracy Area Public School District,44.2033246,-95.73433
2741430,Wabasso Public School District,44.4211852,-95.3004837
2717570,Lake of the Woods School District,48.5881525,-94.8866975
2700385,Red Lake County Central Public Schools,47.8991209,-95.8699638
2700382,Brandon-Evansville Public Schools,45.9963965,-95.6617685
2700127,Stephen-Argyle Central Schools,48.4181348,-96.8642414
2723550,Marshall County Central Schools,48.3059436,-96.3363092
2718920,Grygla Public School District,48.3598285,-95.4220433
2791446,Tri-County School District,48.6133652,-96.5350604
2700024,Warren-Alvarado-Oslo School District,48.1769101,-96.8124444
2700328,Ortonville Public Schools,45.2577515,-96.3329085
2700104,West Central Area,45.8922198,-95.9716478
2703300,Ashby Public School District,46.1181061,-95.8362743
2713890,Herman-Norcross School District,45.8133866,-96.151806
2700103,Clearbrook-Gonvick School District,47.7535773,-95.4621883
2730510,Red Lake Public School District,47.8701514,-95.181105
2718240,Little Falls Public School District,46.0420885,-94.4054992
2740920,Verndale Public School District,46.4361609,-94.9638283
2712480,Fulda Public School District,43.8579099,-95.629108
2700090,Murray County Central School District,43.9869789,-95.8416774
2710090,Dawson-Boyd Public School District,44.8993198,-96.012372
2702730,Adrian Public School District,43.69214,-95.9207079
2744160,Worthington Public School District,43.6415789,-95.6597357
2713930,Heron Lake-Okabena School District,43.7674632,-95.349101
2710060,Dassel-Cokato Public School District,45.0827058,-94.2583745
2703150,Annandale Public School District,45.2695742,-94.1215621
2717220,Kimball Public School District,45.3319061,-94.2827717
2732880,Sauk Rapids-Rice Public Schools,45.6964078,-94.1242691
2700106,A.C.G.C. Public School District,45.0735832,-94.7472047
