censusID,mHI,mHI_MOE,NoComp_Cnt,NoComp_Pct,YesComp_Cnt,YesCom_Pct,NoInternet_Cnt,NoInternet_Pct,YesInternet_Cnt,YesInternet_Pct
2723370,56379,4301,114,9.238249595,1120,90.76175041,166,12.90824261,1120,87.09175739
2723400,69094,4625,358,8.605769231,3802,91.39423077,531,12.25478883,3802,87.74521117
2723430,99034,5400,643,8.547122159,6880,91.45287784,740,9.711286089,6880,90.28871391
2723490,62315,3453,925,10.27891988,8074,89.72108012,1332,14.16117372,8074,85.83882628
2723520,56435,4898,213,13.2133995,1399,86.7866005,328,18.9924725,1399,81.0075275
2723550,61563,6286,111,11.89710611,822,88.10289389,176,17.63527054,822,82.36472946
2723580,74659,8029,98,9.099350046,979,90.90064995,153,13.51590106,979,86.48409894
2723820,79170,4080,709,8.606457878,7529,91.39354212,841,10.04778973,7529,89.95221027
2723880,73918,3469,687,6.85013461,9342,93.14986539,934,9.089139743,9342,90.91086026
2723970,59297,3192,220,13.56350185,1402,86.43649815,304,17.81946073,1402,82.18053927
2725050,44358,3966,445,16.72932331,2215,83.27067669,525,19.16058394,2215,80.83941606
2725080,113341,14410,235,4.644268775,4825,95.35573123,325,6.310679612,4825,93.68932039
2725140,54559,2314,208,11.36612022,1622,88.63387978,350,17.7484787,1622,82.2515213
2725200,83984,1586,3194,5.556232061,54291,94.44376794,5053,8.514761391,54291,91.48523861
2728050,62342,2526,1346,10.20702207,11841,89.79297793,1722,12.69630613,11841,87.30369387
2728080,53944,2749,709,11.96220685,5218,88.03779315,959,15.52533592,5218,84.47466408
2728110,59044,3102,173,13.3384734,1124,86.6615266,232,17.10914454,1124,82.89085546
2728140,60821,3050,397,13.50799592,2542,86.49200408,521,17.00946784,2542,82.99053216
2728170,63799,2885,408,12.45041196,2869,87.54958804,603,17.36751152,2869,82.63248848
2728290,58448,3782,228,12.40478781,1610,87.59521219,266,14.17910448,1610,85.82089552
2728320,58750,3016,390,16.05599012,2039,83.94400988,483,19.15146709,2039,80.84853291
2728350,65490,4279,252,10.16949153,2226,89.83050847,343,13.35149864,2226,86.64850136
2728380,52857,3561,673,14.20130829,4066,85.79869171,951,18.95555113,4066,81.04444887
2728950,75500,7720,167,6.294760648,2486,93.70523935,290,10.44668588,2486,89.55331412
2728970,47398,1667,487,12.81916294,3312,87.18083706,593,15.18565941,3312,84.81434059
2730030,70664,4206,746,9.136558481,7419,90.86344152,1089,12.79971791,7419,87.20028209
2730060,108621,4248,591,3.588124583,15880,96.41187542,1098,6.467192838,15880,93.53280716
2730090,66959,5286,662,11.13915531,5281,88.86084469,874,14.19983753,5281,85.80016247
2730150,89554,5723,60,6.389776358,879,93.61022364,115,11.5694165,879,88.4305835
2730870,44496,3514,363,13.84439359,2259,86.15560641,527,18.91600861,2259,81.08399139
2730450,57708,7969,144,13.15068493,951,86.84931507,200,17.37619461,951,82.62380539
2730480,58343,5032,955,10.36128892,8262,89.63871108,1194,12.62690355,8262,87.37309645
2730510,35919,3062,443,23.31578947,1457,76.68421053,582,28.54340363,1457,71.45659637
2731750,61358,2876,2007,9.878426933,18310,90.12157307,2677,12.75551532,18310,87.24448468
