GEOID,DST_NAM,ORGID
2799999,State of Minnesota,999999000000
2702760,Aitkin Public School District,010001000000
2721240,Minneapolis Public School District,030001000000
2714010,Hill City Public School District,010002000000
2719170,McGregor Public School District,010004000000
2733270,South St. Paul Public School District,030006000000
2703180,Anoka-Hennepin Public School District,010011000000
2708100,Centennial Public School District,010012000000
2709510,Columbia Heights Public School District,010013000000
2712420,Fridley Public School District,010014000000
2733540,St. Francis Public School District,010015000000
2733330,Spring Lake Park Public Schools,010016000000
2710230,Detroit Lakes Public School District,010022000000
2712360,Frazee-Vergas Public School District,010023000000
2728960,Pine Point Public School District,010025000000
2704440,Bemidji Public School District,010031000000
2705730,Blackduck Public School District,010032000000
2717010,Kelliher Public School District,010036000000
2730510,Red Lake Public School District,010038000000
2732880,Sauk Rapids-Rice Public Schools,010047000000
2712240,Foley Public School District,010051000000
2733480,St. Clair Public School District,010075000000
2718780,Mankato Public School District,010077000000
2709540,Comfrey Public School District,010081000000
2733210,Sleepy Eye Public School District,010084000000
2733390,Springfield Public School District,010085000000
2723490,New Ulm Public School District,010088000000
2703690,Barnum Public School District,010091000000
2707590,Carlton Public School District,010093000000
2709420,Cloquet Public School District,010094000000
2709690,Cromwell-Wright Public Schools,010095000000
2721450,Moose Lake Public School District,010097000000
2738880,Esko Public School District,010099000000
2744190,Wrenshall Public School District,010100000000
2723910,Central Public School District,010108000000
2741460,Waconia Public School District,010110000000
2741910,Watertown-Mayer Public School District,010111000000
2708190,Eastern Carver County Public Schools,010112000000
2702910,Walker-Hackensack-Akeley School District,010113000000
2708070,Cass Lake-Bena Public Schools,010115000000
2728350,Pillager Public School District,010116000000
2730870,Northland Community Schools,010118000000
2721320,Montevideo Public School District,010129000000
2723820,North Branch Public Schools,010138000000
2732550,Rush City Public School District,010139000000
2703660,Barnesville Public School District,010146000000
2713560,Hawley Public School District,010150000000
2721420,Moorhead Public School District,010152000000
2703570,Bagley Public School District,010162000000
2713110,Cook County Public Schools,010166000000
2723010,Mountain Lake Public Schools,010173000000
2742780,Windom Public School District,010177000000
2706090,Brainerd Public School District,010181000000
2709750,Crosby-Ironton Public School District,010182000000
2728200,Pequot Lakes Public Schools,010186000000
2707290,Burnsville Public School District,010191000000
2711820,Farmington Public School District,010192000000
2717780,Lakeville Public School District,010194000000
2730150,Randolph Public School District,010195000000
2732390,Rosemount-Apple Valley-Eagan,010196000000
2742270,West St. Paul-Mendota Heights-Eagan,010197000000
2715030,Inver Grove Heights Schools,010199000000
2713530,Hastings Public School District,010200000000
2713590,Hayfield Public School District,010203000000
2716980,Kasson-Mantorville School District,010204000000
2703060,Alexandria Public School District,010206000000
2725140,Osakis Public School District,010213000000
2708220,Chatfield Public Schools,010227000000
2717910,Lanesboro Public School District,010229000000
2718540,Mabel-Canton Public School District,010238000000
2728290,Rushford-Peterson Public Schools,010239000000
2702970,Albert Lea Public School District,010241000000
2703030,Alden-Conger Public School District,010242000000
2707500,Cannon Falls Public School District,010252000000
2712900,Goodhue Public School District,010253000000
2728950,Pine Island Public School District,010255000000
2730480,Red Wing Public School District,010256000000
2703300,Ashby Public School District,010261000000
2713890,Herman-Norcross School District,010264000000
2714260,Hopkins Public School District,010270000000
2705790,Bloomington Public School District,010271000000
2714220,Eden Prairie Public School District,010272000000
2711250,Edina Public School District,010273000000
2711670,Minnetonka Public School District,010276000000
2722920,Westonka Public School District,010277000000
2725080,Orono Public School District,010278000000
2725200,Osseo Public School District,010279000000
2731750,Richfield Public School District,010280000000
2731780,Robbinsdale Public School District,010281000000
2733420,St. Anthony-New Brighton Schools,010282000000
2733780,St. Louis Park Public School District,010283000000
2742160,Wayzata Public School District,010284000000
2706240,Brooklyn Center School District,010286000000
2714280,Houston Public School District,010294000000
2733300,Spring Grove School District,010297000000
2707380,Caledonia Public School District,010299000000
2717250,La Crescent-Hokah School District,010300000000
2717940,Laporte Public School District,010306000000
2723370,Nevis Public School District,010308000000
2728080,Park Rapids Public School District,010309000000
2706060,Braham Public School District,010314000000
2709480,Greenway Public School District,010316000000
2710140,Deer River Public School District,010317000000
2713170,Grand Rapids Public School District,010318000000
2723310,Nashwauk-Keewatin School District,010319000000
2713930,Heron Lake-Okabena School District,010330000000
2721480,Mora Public School District,010332000000
2723970,Ogilvie Public School District,010333000000
2723400,New London-Spicer School District,010345000000
2742720,Willmar Public School District,010347000000
2717880,Lancaster Public School District,010356000000
2715000,International Falls School District,010361000000
2718270,Littlefork-Big Falls School District,010362000000
2732700,South Koochiching School District,010363000000
2710090,Dawson-Boyd Public School District,010378000000
2740740,Lake Superior Public School District,010381000000
2717570,Lake of The Woods School District,010390000000
2709330,Cleveland Public School District,010391000000
2713680,Hendricks Public School District,010402000000
2715540,Ivanhoe Public School District,010403000000
2717460,Lake Benton Public School District,010404000000
2718940,Marshall Public School District,010413000000
2721270,Minneota Public School District,010414000000
2718390,Lynd Public School District,010415000000
2714970,Hutchinson Public School District,010423000000
2702640,Lester Prairie Public School District,010424000000
2718660,Mahnomen Public School District,010432000000
2742120,Waubun-Ogema-White Earth Public Schools,010435000000
2723550,Marshall County Central Schools,010441000000
2718920,Grygla Public School District,010447000000
2740680,Truman Public School District,010458000000
2711190,Eden Valley-Watkins School District,010463000000
2718210,Litchfield Public School District,010465000000
2710060,Dassel-Cokato Public School District,010466000000
2715510,Isle Public School District,010473000000
2730030,Princeton Public School District,010477000000
2725050,Onamia Public School District,010480000000
2718240,Little Falls Public School District,010482000000
2728320,Pierz Public School District,010484000000
2732520,Royalton Public School District,010485000000
2738280,Swanville Public School District,010486000000
2740860,Upsala Public School District,010487000000
2703450,Austin Public School District,010492000000
2713140,Grand Meadow Public School District,010495000000
2718360,Lyle Public School District,010497000000
2718060,LeRoy-Ostrander Public Schools,010499000000
2702720,Southland Public School District,010500000000
2712480,Fulda Public School District,010505000000
2723580,Nicollet Public School District,010507000000
2733870,St. Peter Public School District,010508000000
2702730,Adrian Public School District,010511000000
2711460,Ellsworth Public School District,010514000000
2744160,Worthington Public School District,010518000000
2707350,Byron Public School District,010531000000
2711010,Dover-Eyota Public School District,010533000000
2738160,Stewartville Public School District,010534000000
2731800,Rochester Public School District,010535000000
2703750,Battle Lake Public School District,010542000000
2711880,Fergus Falls Public School District,010544000000
2713860,Henning Public School District,010545000000
2728110,Parkers Prairie Public School District,010547000000
2728170,Pelican Rapids Public School District,010548000000
2728230,Perham-Dent Public School District,010549000000
2740830,Underwood Public School District,010550000000
2723520,New York Mills Public School District,010553000000
2713020,Goodridge Public School District,010561000000
2738850,Thief River Falls School District,010564000000
2742750,Willow River Public School District,010577000000
2728380,Pine City Public School District,010578000000
2711220,Edgerton Public School District,010581000000
2709360,Climax-Shelly Public Schools,010592000000
