GEOID,DST_NAM,ADMTOTAL,GeneralFundExpenditures,PerPupilExp,AvgTeacherSal,ReadingProficiency,Total_Enroll,Female_Pct,Male_Pct,AIAN_Pct,Asian_Pct,NHPI_Pct,HisLa_Pct,Black_Pct,White_Pct,TwoMo_Pct,Meals_Pct
2700000,Statewide,868137.24,9638187419,11102.15,61362,59.17428571,889304,48.49,51.51,1.67,6.86,0.09,9.53,11.20,65.70,4.95,36.38
2702760,Aitkin Public School District,1177.69,12036522,10220.45,55454,57.6385714,1186,47.39,52.61,0.59,0.42,0.00,1.52,1.26,92.92,3.29,44.52
2721240,Minneapolis Public School District,34088.09,439046660,12879.77,70659,46.48,35580,48.65,51.35,3.01,5.02,0.11,17.37,35.30,35.36,3.83,56.90
2714010,Hill City Public School District,264.67,3787461,14310.13,55552,46.2828571,267,50.19,49.81,3.37,0.00,0.00,2.62,0.00,88.77,5.24,62.92
2719170,McGregor Public School District,464.3,5596677,12054.01,50071,49.2585714,480,47.08,52.92,22.71,0.42,0.00,0.83,0.21,74.37,1.46,41.25
2733270,South St. Paul Public School District,3419.29,34984783,10231.59,65558,45.0614286,3548,48.31,51.69,0.76,2.14,0.00,27.11,7.69,54.41,7.89,50.06
2703180,Anoka-Hennepin Public School District,38121.71,427741016,11220.4,70407,65.0485714,38802,48.35,51.65,0.70,7.84,0.11,5.98,12.07,67.99,5.31,32.38
2708100,Centennial Public School District,6575.93,71503817,10873.57,66703,68.8528571,6740,49.01,50.99,0.36,5.25,0.07,5.16,3.84,80.65,4.67,16.23
2709510,Columbia Heights Public School District,3457.95,34927109,10100.52,66754,35.0957143,3398,48.97,51.03,1.09,4.36,0.06,33.99,35.29,17.85,7.36,72.81
2712420,Fridley Public School District,2899.39,33593832,11586.52,62370,44.1814286,3039,48.57,51.43,1.12,6.88,0.00,12.87,36.16,35.43,7.54,64.53
2733540,St. Francis Public School District,4356.21,42954903,9860.61,62596,60.7257143,4547,48.14,51.86,0.86,3.74,0.02,3.87,1.03,85.20,5.28,26.68
2733330,Spring Lake Park Public Schools,5976.6,56496807,9453,58378,56.4728571,6096,49.62,50.38,0.51,8.32,0.23,15.50,11.78,56.34,7.32,34.51
2710230,Detroit Lakes Public School District,2994.25,31624477,10561.74,57512,61.0257143,3047,48.38,51.62,9.94,0.89,0.00,2.30,1.12,75.22,10.53,36.82
2712360,Frazee-Vergas Public School District,912.34,9788592,10729.11,56773,61.6714286,904,49.34,50.66,7.30,0.11,0.00,2.99,0.44,85.51,3.65,45.58
2728960,Pine Point Public School District,63.53,1431696,22535.75,56935,28.635,59,59.32,40.68,100.00,0.00,0.00,0.00,0.00,0.00,0.00,91.53
2704440,Bemidji Public School District,5044.73,57707180,11439.1,63506,55.5557143,5230,46.75,53.25,16.98,0.73,0.08,1.95,1.38,71.02,7.86,47.23
2705730,Blackduck Public School District,655.95,7002715,10675.68,52621,48.21,674,48.07,51.93,14.39,0.30,0.00,2.52,0.59,79.83,2.37,58.01
2717010,Kelliher Public School District,276.55,4739154,17136.7,54089,44.6985714,285,49.12,50.88,48.42,0.00,0.00,0.70,1.05,49.83,0.00,75.44
2730510,Red Lake Public School District,1473.35,30482917,20689.53,54398,24.03,1497,47.36,52.64,99.73,0.00,0.00,0.07,0.00,0.00,0.20,79.02
2732880,Sauk Rapids-Rice Public Schools,4517.87,44715087,9897.38,59904,57.2685714,4647,49.45,50.55,0.45,1.31,0.11,3.96,3.53,86.27,4.37,31.57
2712240,Foley Public School District,1933.09,18546832,9594.4,58363,69.26,1964,49.03,50.97,0.46,0.20,0.05,0.92,0.31,96.79,1.27,28.67
2733480,St. Clair Public School District,661.98,6180560,9336.48,53243,60.0714286,666,50.75,49.25,0.00,0.00,0.15,0.75,0.00,97.30,1.80,16.52
2718780,Mankato Public School District,8656.15,87845043,10148.28,59706,64.1842857,8799,47.19,52.81,0.33,2.07,0.13,6.28,11.86,74.97,4.36,34.61
2709540,Comfrey Public School District,146.94,1910965,13005.07,50694,59.6433333,148,52.03,47.97,0.00,0.00,0.00,8.11,0.00,89.19,2.70,45.95
2733210,Sleepy Eye Public School District,578.7,6073846,10495.67,46479,58.3171429,609,48.93,51.07,0.49,1.15,0.00,34.48,1.15,62.07,0.66,47.95
2733390,Springfield Public School District,559.52,5576610,9966.78,52708,68.5971429,566,47.00,53.00,0.00,0.18,0.00,7.60,0.18,92.04,0.00,46.82
2723490,New Ulm Public School District,2141.47,23115819,10794.37,52039,57.7357143,2091,46.72,53.28,0.10,0.48,0.00,5.60,1.05,91.05,1.72,28.79
2703690,Barnum Public School District,706.79,7844835,11099.24,56920,70.3485714,714,46.08,53.92,0.56,0.14,0.14,1.68,0.42,92.30,4.76,33.33
2707590,Carlton Public School District,433.66,5305718,12234.74,39522,56.5757143,435,43.45,56.55,14.02,0.23,0.00,1.15,0.69,79.54,4.37,36.32
2709420,Cloquet Public School District,2761.49,27810520,10070.84,63524,67.3271429,2654,47.63,52.37,11.79,0.60,0.04,1.58,0.34,72.46,13.19,42.50
2709690,Cromwell-Wright Public Schools,323.59,4906784,15163.58,51681,55.3514286,331,45.92,54.08,5.44,1.51,0.00,1.21,0.60,90.64,0.60,37.76
2721450,Moose Lake Public School District,633.22,6419007,10137.09,57525,54.1614286,655,49.01,50.99,0.92,0.31,0.00,1.98,0.00,92.52,4.27,30.99
2738880,Esko Public School District,1255.45,10796321,8599.56,61790,80.6128571,1283,49.26,50.74,0.39,0.55,0.00,1.56,0.55,92.20,4.75,10.44
2744190,Wrenshall Public School District,364.46,3952098,10843.71,51121,54.7228571,377,51.46,48.54,0.53,0.27,0.00,2.65,0.80,90.71,5.04,44.03
2723910,Central Public School District,956.98,9205468,9619.29,54631,63.6985714,986,48.07,51.93,0.20,0.71,0.41,5.78,1.93,86.91,4.06,20.69
2741460,Waconia Public School District,4050.66,41590079,10267.48,62452,70.6942857,4123,48.10,51.90,0.27,1.02,0.10,4.85,1.02,89.93,2.81,11.01
2741910,Watertown-Mayer Public School District,1535.33,14911126,9712,56594,64.5914286,1552,47.87,52.13,0.45,0.77,0.00,1.68,0.71,94.26,2.13,19.59
2708190,Eastern Carver County Public Schools,9673.13,107996917,11164.63,70239,67.0157143,9829,48.50,51.50,0.24,3.99,0.05,9.44,4.81,76.46,5.01,17.14
2702910,Walker-Hackensack-Akeley School District,769.62,9261043,12033.27,52748,53.9128571,799,46.43,53.57,22.40,0.50,0.00,2.88,0.25,66.34,7.63,49.69
2708070,Cass Lake-Bena Public Schools,1158.74,21507053,18560.72,56748,35.2757143,1211,47.89,52.11,81.75,0.00,0.08,2.23,0.17,7.26,8.51,82.00
2728350,Pillager Public School District,1166.01,10312923,8844.63,54983,59.75,1164,48.02,51.98,0.34,0.09,0.00,2.15,0.52,94.92,1.98,42.44
2730870,Northland Community Schools,327.35,6038520,18446.68,52789,39.8033333,360,52.78,47.22,38.33,0.28,0.28,0.56,0.56,57.49,2.50,68.06
2721320,Montevideo Public School District,1567.26,15043396,9598.53,62060,58.5785714,1409,47.48,52.52,0.57,0.35,0.78,19.38,1.49,73.46,3.97,43.72
2723820,North Branch Public Schools,2692.7,27562973,10236.18,62287,55.52,2731,48.55,51.45,0.70,2.71,0.00,4.10,1.24,88.47,2.78,29.00
2732550,Rush City Public School District,848.18,7891842,9304.44,50285,67.0014286,848,48.47,51.53,1.18,1.30,0.00,3.66,0.59,90.79,2.48,30.66
2703660,Barnesville Public School District,879.17,8618085,9802.52,59458,77.0514286,868,45.39,54.61,0.23,0.23,0.00,1.38,0.46,94.94,2.76,17.05
2713560,Hawley Public School District,987.42,8766777,8878.47,60606,69.0814286,975,47.49,52.51,0.82,0.41,0.10,2.46,0.10,94.06,2.05,13.95
2721420,Moorhead Public School District,6857.35,72279388,10540.43,57577,52.7485714,7027,48.51,51.49,2.89,0.97,0.04,8.34,9.90,71.10,6.76,40.23
2703570,Bagley Public School District,992.89,11000574,11079.35,56447,49.7742857,1024,48.24,51.76,18.55,0.39,0.00,0.88,1.07,71.40,7.71,47.95
2713110,Cook County Public Schools,463.8,5943384,12814.54,50172,58.53,500,43.20,56.80,13.60,0.20,0.80,5.60,0.20,72.60,7.00,36.40
2723010,Mountain Lake Public Schools,509.35,5562343,10920.47,54787,56.5842857,516,48.45,51.55,0.00,12.60,0.00,22.29,2.13,57.94,5.04,53.29
2742780,Windom Public School District,1077.41,12649677,11740.82,47712,57.6328571,1064,45.77,54.23,0.00,1.97,1.88,19.17,1.69,70.59,4.70,43.80
2706090,Brainerd Public School District,6572.89,71227350,10836.53,62693,67.92,6812,48.93,51.07,1.78,0.60,0.04,1.32,1.32,91.62,3.32,40.59
2709750,Crosby-Ironton Public School District,1043.12,11427562,10955.17,56680,64.2871429,1048,49.33,50.67,0.67,0.38,0.00,1.81,0.76,91.51,4.87,42.37
2728200,Pequot Lakes Public Schools,1727.56,15564016,9009.25,60281,70.4228571,1747,46.94,53.06,1.49,0.11,0.00,0.74,1.26,95.60,0.80,26.27
2707290,Burnsville Public School District,8672.41,102758358,11848.88,71750,48.2771429,8874,48.86,51.14,0.48,7.98,0.23,18.92,26.93,38.85,6.61,51.00
2711820,Farmington Public School District,7295.26,71285939,9771.54,66219,57.5828571,7313,47.94,52.06,0.36,4.68,0.03,6.99,3.42,79.80,4.72,15.12
2717780,Lakeville Public School District,11098.37,125766054,11331.94,70874,73.31,11204,48.56,51.44,0.29,5.04,0.14,6.78,3.99,78.99,4.77,12.80
2730150,Randolph Public School District,679.42,6804649,10015.38,49924,51.1328571,684,46.35,53.65,0.00,0.73,0.00,2.19,0.58,94.89,1.61,17.98
2732390,Rosemount-Apple Valley-Eagan,28563.45,289752744,10144.18,74578,65.2914286,28997,48.47,51.53,0.33,8.35,0.09,9.94,12.15,62.70,6.44,22.44
2742270,West St. Paul-Mendota Heights-Eagan,5175.48,58530102,11309.12,62490,59.68,5222,48.76,51.24,0.79,4.48,0.10,26.18,11.07,50.37,7.01,41.25
2715030,Inver Grove Heights Schools,3583.2,36658026,10230.53,65095,51.64,3633,48.42,51.58,0.44,5.15,0.08,24.11,10.54,52.58,7.10,40.10
2713530,Hastings Public School District,4346.71,47256101,10871.69,64896,65.1,4391,49.53,50.47,0.71,1.05,0.02,4.83,2.57,86.31,4.51,21.68
2713590,Hayfield Public School District,708.95,6966813,9826.95,56280,48.9057143,685,50.36,49.64,0.44,0.00,0.00,7.45,1.61,88.89,1.61,32.41
2716980,Kasson-Mantorville School District,2222.73,19343642,8702.65,56093,66.5071429,2222,49.46,50.54,0.00,0.45,0.00,5.40,0.54,90.77,2.84,16.47
2703060,Alexandria Public School District,4201.34,45346085,10793.24,55914,65.6257143,4191,48.25,51.75,0.24,0.93,0.00,3.65,0.74,91.82,2.62,27.92
2725140,Osakis Public School District,840.41,7631697,9080.92,53044,62.0785714,846,50.00,50.00,0.47,0.24,0.12,2.25,0.95,95.26,0.71,30.26
2708220,Chatfield Public Schools,867.48,8766530,10105.74,53977,70.5128571,873,47.42,52.58,0.23,0.57,0.11,2.29,0.57,94.51,1.72,16.95
2717910,Lanesboro Public School District,352.39,3613783,10255.07,52824,63.2571429,347,46.97,53.03,0.00,0.58,0.29,2.02,0.00,96.25,0.86,36.02
2718540,Mabel-Canton Public School District,256.28,2918326,11387.26,46123,60.2314286,275,47.27,52.73,0.73,0.00,0.00,1.45,1.45,95.28,1.09,31.27
2728290,Rushford-Peterson Public Schools,693.09,7449969,10748.92,53249,62.1057143,697,46.34,53.66,0.00,0.29,0.00,2.44,0.72,94.54,2.01,29.27
2702970,Albert Lea Public School District,3491.22,38441564,11010.93,58998,46.8185714,3595,47.34,52.66,0.25,7.29,0.00,21.72,3.67,63.82,3.25,51.93
2703030,Alden-Conger Public School District,501.42,5525741,11020.18,53510,58.6057143,507,51.08,48.92,0.00,0.20,0.00,6.11,0.39,90.74,2.56,29.78
2707500,Cannon Falls Public School District,1153.09,11755018,10194.36,51704,62.4742857,1158,47.75,52.25,0.52,1.04,0.35,2.68,0.69,91.52,3.20,24.96
2712900,Goodhue Public School District,682.9,6072059,8891.58,48000,56.1785714,673,49.63,50.37,0.00,0.00,0.00,8.62,0.00,90.64,0.74,16.94
2728950,Pine Island Public School District,1360.77,12474746,9167.42,55817,68.6657143,1358,46.91,53.09,0.07,1.33,0.00,2.80,1.69,92.49,1.62,15.61
2730480,Red Wing Public School District,2724.27,28748425,10552.71,59419,54.8385714,2667,49.68,50.32,3.49,1.09,0.00,8.85,3.82,75.66,7.09,33.45
2703300,Ashby Public School District,285.87,2551563,8925.61,48519,58.9814286,293,48.12,51.88,0.00,0.00,0.00,2.73,0.68,96.25,0.34,37.20
2713890,Herman-Norcross School District,97.45,1604621,16466.1,48590,60,99,44.44,55.56,0.00,0.00,0.00,7.07,0.00,85.86,7.07,33.33
2714260,Hopkins Public School District,6858.37,81156042,11833.14,68475,59.4985714,6883,48.61,51.39,0.36,6.03,0.10,9.76,22.49,52.96,8.30,35.44
2705790,Bloomington Public School District,10466.54,127973644,12226.93,68922,53.5157143,10641,47.80,52.20,0.53,7.09,0.09,19.20,17.83,48.32,6.94,41.21
2714220,Eden Prairie Public School District,8916.38,98200311,11013.47,63903,73.5371429,8899,48.32,51.68,0.34,13.75,0.12,8.47,14.77,56.95,5.60,21.73
2711250,Edina Public School District,8412.2,98223666,11676.34,75489,77.4328571,8510,48.82,51.18,0.07,10.07,0.05,5.45,6.32,73.16,4.88,8.88
2711670,Minnetonka Public School District,10926.92,115377537,10559.02,73195,81.4842857,10970,49.22,50.78,0.24,5.55,0.06,4.16,2.64,83.26,4.09,5.93
2722920,Westonka Public School District,2440.68,27509910,11271.41,66063,77.6071429,2447,47.53,52.47,0.16,1.06,0.08,4.70,1.88,86.32,5.80,16.10
2725080,Orono Public School District,2876.85,33235969,11552.9,73679,78.8314286,2885,47.04,52.96,0.17,1.59,0.03,4.51,1.01,89.19,3.50,6.69
2725200,Osseo Public School District,21072.86,222122568,10540.69,65884,54.9457143,21472,48.62,51.38,0.92,15.91,0.04,9.12,24.86,42.67,6.48,41.24
2731750,Richfield Public School District,4231.02,45318424,10710.99,68409,43.4857143,4319,47.58,52.42,0.81,6.00,0.14,40.70,14.52,28.66,9.17,61.66
2731780,Robbinsdale Public School District,12236.62,133467295,10907.2,59092,48.7471429,12546,49.08,50.92,0.59,6.36,0.03,15.01,29.83,39.08,9.10,50.78
2733420,St. Anthony-New Brighton Schools,1816.12,18558636,10218.84,63687,67.5614286,1837,49.70,50.30,0.54,7.68,0.16,7.08,12.08,65.55,6.91,25.69
2733780,St. Louis Park Public School District,4616.9,58543881,12680.34,63193,58.9185714,4714,49.07,50.93,0.62,3.42,0.23,11.90,20.43,54.34,9.06,36.13
2742160,Wayzata Public School District,11911.97,133911351,11241.75,64164,80.7957143,11948,48.23,51.77,0.07,20.55,0.04,4.32,7.03,62.58,5.41,11.22
2706240,Brooklyn Center School District,2487.32,24748211,9949.75,56287,22.4285714,2492,50.08,49.92,1.16,12.68,0.00,20.67,39.89,19.54,6.06,75.44
2714280,Houston Public School District,1923.5,19059114,9908.56,52665,57.9471429,1976,54.30,45.70,1.32,1.47,0.10,7.19,7.34,74.84,7.74,30.01
2733300,Spring Grove School District,363.66,4207056,11568.65,52829,68.2514286,361,48.75,51.25,0.00,0.00,0.00,1.11,1.11,96.67,1.11,32.41
2707380,Caledonia Public School District,717.07,7693922,10729.67,58525,61.0757143,718,46.38,53.62,0.00,0.14,0.00,0.84,1.39,96.10,1.53,27.16
2717250,La Crescent-Hokah School District,1108.1,12031091,10857.41,52112,55.13,1108,47.92,52.08,0.45,1.62,0.09,2.08,2.53,89.17,4.06,20.22
2717940,Laporte Public School District,324.58,3773136,11624.67,49460,48.0328571,338,46.15,53.85,15.68,0.00,0.00,1.18,1.78,75.74,5.62,57.10
2723370,Nevis Public School District,592.15,5852396,9883.3,53321,68.3614286,626,50.32,49.68,1.92,0.00,0.00,4.31,0.80,88.98,3.99,45.85
2728080,Park Rapids Public School District,1670.67,16104587,9639.6,52168,51.7957143,1739,51.29,48.71,2.13,0.17,0.00,6.56,0.58,83.89,6.67,51.01
2706060,Braham Public School District,740.08,6760399,9134.69,53013,59.8514286,755,47.95,52.05,0.00,0.53,0.13,2.12,0.79,93.91,2.52,41.32
2709480,Greenway Public School District,1050.51,12708016,12097,53537,61.7242857,1067,47.05,52.95,9.09,0.09,0.00,2.62,1.22,84.36,2.62,52.39
2710140,Deer River Public School District,921.64,12105608,13134.86,52811,53.5571429,971,45.73,54.27,31.72,0.31,0.00,3.09,0.31,52.83,11.74,68.69
2713170,Grand Rapids Public School District,3998.92,45181414,11298.4,66318,61.4971429,4149,48.59,51.41,3.21,0.22,0.14,2.02,0.75,85.51,8.15,38.59
2723310,Nashwauk-Keewatin School District,587.22,7359072,12532.05,61054,50.7628571,610,46.89,53.11,0.98,0.49,0.00,1.15,0.98,87.38,9.02,53.11
2713930,Heron Lake-Okabena School District,277.5,3900465,14055.73,48640,46.0928571,300,42.67,57.33,1.33,1.00,0.00,13.67,0.00,83.67,0.33,42.33
2721480,Mora Public School District,1616.46,15524774,9604.18,55814,65.7842857,1643,48.81,51.19,0.97,0.37,0.00,2.68,1.03,91.36,3.59,39.93
2723970,Ogilvie Public School District,506.11,5297964,10468.01,49065,44.3028571,510,50.59,49.41,0.20,0.39,0.00,1.37,0.00,97.84,0.20,40.20
2723400,New London-Spicer School District,1536.7,15420092,10034.55,57985,69.03,1556,46.92,53.08,0.06,0.39,0.13,7.65,0.19,91.32,0.26,26.09
