dname,censusid,admtotal
Aitkin Public School District,2702760,1178
Minneapolis Public School District,2721240,34088
Hill City Public School District,2714010,265
McGregor Public School District,2719170,464
South St. Paul Public School District,2733270,3419
Anoka-Hennepin Public School District,2703180,38122
Centennial Public School District,2708100,6576
Columbia Heights Public School District,2709510,3458
Fridley Public School District,2712420,2899
St. Francis Public School District,2733540,4356
Spring Lake Park Public Schools,2733330,5977
Detroit Lakes Public School District,2710230,2994
Frazee-Vergas Public School District,2712360,912
Pine Point Public School District,2728960,64
Bemidji Public School District,2704440,5045
Blackduck Public School District,2705730,656
Kelliher Public School District,2717010,277
Red Lake Public School District,2730510,1473
Sauk Rapids-Rice Public Schools,2732880,4518
Foley Public School District,2712240,1933
St. Clair Public School District,2733480,662
Mankato Public School District,2718780,8656
Comfrey Public School District,2709540,147
Sleepy Eye Public School District,2733210,579
Springfield Public School District,2733390,560
New Ulm Public School District,2723490,2141
Barnum Public School District,2703690,707
Carlton Public School District,2707590,434
Cloquet Public School District,2709420,2761
Cromwell-Wright Public Schools,2709690,324
Moose Lake Public School District,2721450,633
Esko Public School District,2738880,1255
Wrenshall Public School District,2744190,364
Central Public School District,2723910,957
Waconia Public School District,2741460,4051
Watertown-Mayer Public School District,2741910,1535
Eastern Carver County Public Schools,2708190,9673
Walker-Hackensack-Akeley School District,2702910,770
Cass Lake-Bena Public Schools,2708070,1159
Pillager Public School District,2728350,1166
Northland Community Schools,2730870,327
Montevideo Public School District,2721320,1567
North Branch Public Schools,2723820,2693
Rush City Public School District,2732550,848
Barnesville Public School District,2703660,879
Hawley Public School District,2713560,987
Moorhead Public School District,2721420,6857
Bagley Public School District,2703570,993
Cook County Public Schools,2713110,464
Mountain Lake Public Schools,2723010,509
Windom Public School District,2742780,1077
Brainerd Public School District,2706090,6573
Crosby-Ironton Public School District,2709750,1043
Pequot Lakes Public Schools,2728200,1728
Burnsville Public School District,2707290,8672
Farmington Public School District,2711820,7295
Lakeville Public School District,2717780,11098
Randolph Public School District,2730150,679
Rosemount-Apple Valley-Eagan,2732390,28563
West St. Paul-Mendota Heights-Eagan,2742270,5175
Inver Grove Heights Schools,2715030,3583
Hastings Public School District,2713530,4347
Hayfield Public School District,2713590,709
Kasson-Mantorville School District,2716980,2223
Alexandria Public School District,2703060,4201
Osakis Public School District,2725140,840
Chatfield Public Schools,2708220,867
Lanesboro Public School District,2717910,352
Mabel-Canton Public School District,2718540,256
Rushford-Peterson Public Schools,2728290,693
Albert Lea Public School District,2702970,3491
