GEO_ID,NAME,S1901_C01_001E,S1901_C02_001E,S1901_C03_001E,S1901_C04_004E,S1901_C01_012E,S1901_C01_012M,S1901_C02_012E,S1901_C02_012M,S1901_C03_012E,S1901_C04_012E,S1901_C01_013E,S1901_C02_013E
id,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Families!!Total,Estimate!!Married-couple families!!Total,"Estimate!!Nonfamily households!!Total!!$15,000 to $24,999",Estimate!!Households!!Median income (dollars),Margin of Error!!Households MOE!!Median income (dollars),Estimate!!Families!!Median income (dollars),Margin of Error!!Families MOE!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Estimate!!Families!!Mean income (dollars)
9700000US2700001,"Mountain Iron-Buhl School District, Minnesota",2110,1183,977,22.8,49091,5172,67969,10462,77802,28047,58044,70789
9700000US2700005,"United South Central School District, Minnesota",2445,1639,1270,20.7,52576,2799,65607,5502,73910,30221,63043,73820
9700000US2700006,"Maple River School District, Minnesota",2395,1750,1364,11.9,62217,2425,71628,4050,82000,33750,72572,80917
9700000US2700007,"Kingsland Public School District, Minnesota",2142,1447,1215,22.7,56705,4086,69665,4285,76741,31179,70836,85313
9700000US2700008,"St. Louis County School District, Minnesota",8042,5114,4316,18,54809,1660,67972,2486,74327,31992,66783,80243
9700000US2700013,"Waterville-Elysian-Morristown Public School District, Minnesota",2713,1864,1602,15.7,63040,5863,75381,4361,82500,37991,76495,90006
9700000US2700017,"Chisago Lakes School District, Minnesota",8213,6048,4947,17.1,84455,4059,97151,6040,108520,45667,95269,107543
9700000US2700019,"Minnewaska School District, Minnesota",4279,2741,2315,19.3,58327,3069,75785,4572,82426,32717,74199,91812
9700000US2700021,"Eveleth-Gilbert School District, Minnesota",3843,2354,1753,22.2,56021,3649,68423,4103,81723,33597,65351,79255
9700000US2700022,"Wadena-Deer Creek School District, Minnesota",3289,2104,1480,19.4,45704,3429,52244,5099,63594,26228,58909,66790
9700000US2700023,"Buffalo Lake-Hector-Stewart Public Schools, Minnesota",1688,1094,896,14.8,56983,5599,72917,5197,79524,35795,75857,92079
9700000US2700024,"Warren-Alvarado-Oslo School District, Minnesota",1569,1027,870,14.4,62011,3908,74014,2551,80100,31786,68734,81925
9700000US2700088,"Lakeview School District, Minnesota",1093,768,607,12.3,60331,7153,75208,8738,86319,35428,73976,84862
9700000US2700089,"NRHEG School District, Minnesota",2010,1337,1103,17.5,58902,3424,68917,2803,75547,34904,69486,81106
9700000US2700090,"Murray County Central School District, Minnesota",2121,1326,1129,16.4,55152,3101,74535,3953,83922,34046,68523,84275
9700000US2700091,"M.A.C.C.R.A.Y. School District, Minnesota",1806,1304,1131,19.5,62614,4911,74773,3848,80550,28587,70662,82302
9700000US2700099,"Yellow Medicine East, Minnesota",2800,1863,1437,17.8,56944,5103,70788,3484,81141,29494,70709,83880
9700000US2700100,"Fillmore Central, Minnesota",2053,1414,1198,17.1,58255,3563,73141,3816,79904,29529,71605,85358
9700000US2700101,"Norman County East School District, Minnesota",856,552,460,13.8,57679,3915,69038,5071,74167,30556,64467,76151
9700000US2700102,"Sibley East School District, Minnesota",3034,2057,1677,18.6,61742,2925,72067,5152,81034,31292,71585,82571
9700000US2700103,"Clearbrook-Gonvick School District, Minnesota",1112,684,572,9.1,47566,2314,65000,6200,73333,30789,63310,75502
9700000US2700104,"West Central Area, Minnesota",2181,1515,1256,14.1,57644,2249,66420,2070,72625,32700,72515,81455
9700000US2700105,"Belgrade-Brooten-Elrosa Public School District, Minnesota",1702,1168,985,18.7,54767,3813,67212,3652,72188,32315,73767,88242
