,district_name,state_code,school_code,geo_id,pop_count,mhi,mhi_moe,no_comp,yes_comp,percent_comp,percent_nocomp,no_int,yes_int,percent_int,percent_noint
2723370,"Nevis Public School District, Minnesota",27,23370,2723370,900,56379,4301,114,1120,124.44,12.67,166,1120,124.44,18.44
2723400,"New London-Spicer School District, Minnesota",27,23400,2723400,2300,69094,4625,358,3802,165.3,15.57,531,3802,165.3,23.09
2723430,"New Prague Area Schools, Minnesota",27,23430,2723430,2700,99034,5400,643,6880,254.81,23.81,740,6880,254.81,27.41
2723490,"New Ulm Public School District, Minnesota",27,23490,2723490,3900,62315,3453,925,8074,207.03,23.72,1332,8074,207.03,34.15
2723520,"New York Mills Public School District, Minnesota",27,23520,2723520,1300,56435,4898,213,1399,107.62,16.38,328,1399,107.62,25.23
2723550,"Marshall County Central Schools, Minnesota",27,23550,2723550,850,61563,6286,111,822,96.71,13.06,176,822,96.71,20.71
2723580,"Nicollet Public School District, Minnesota",27,23580,2723580,750,74659,8029,98,979,130.53,13.07,153,979,130.53,20.4
2723820,"North Branch Public Schools, Minnesota",27,23820,2723820,3200,79170,4080,709,7529,235.28,22.16,841,7529,235.28,26.28
2723880,"Northfield Public School District, Minnesota",27,23880,2723880,5200,73918,3469,687,9342,179.65,13.21,934,9342,179.65,17.96
2723970,"Ogilvie Public School District, Minnesota",27,23970,2723970,1300,59297,3192,220,1402,107.85,16.92,304,1402,107.85,23.38
2725050,"Onamia Public School District, Minnesota",27,25050,2725050,2100,44358,3966,445,2215,105.48,21.19,525,2215,105.48,25.0
2725080,"Orono Public School District, Minnesota",27,25080,2725080,1700,113341,14410,235,4825,283.82,13.82,325,4825,283.82,19.12
2725140,"Osakis Public School District, Minnesota",27,25140,2725140,1300,54559,2314,208,1622,124.77,16.0,350,1622,124.77,26.92
2725200,"Osseo Public School District, Minnesota",27,25200,2725200,9800,83984,1586,3194,54291,553.99,32.59,5053,54291,553.99,51.56
2728050,"Owatonna Public School District, Minnesota",27,28050,2728050,3600,62342,2526,1346,11841,328.92,37.39,1722,11841,328.92,47.83
2728080,"Park Rapids Public School District, Minnesota",27,28080,2728080,3400,53944,2749,709,5218,153.47,20.85,959,5218,153.47,28.21
2728110,"Parkers Prairie Public School District, Minnesota",27,28110,2728110,1100,59044,3102,173,1124,102.18,15.73,232,1124,102.18,21.09
2728140,"Paynesville Public School District, Minnesota",27,28140,2728140,1800,60821,3050,397,2542,141.22,22.06,521,2542,141.22,28.94
2728170,"Pelican Rapids Public School District, Minnesota",27,28170,2728170,2300,63799,2885,408,2869,124.74,17.74,603,2869,124.74,26.22
2728290,"Rushford-Peterson Public Schools, Minnesota",27,28290,2728290,1400,58448,3782,228,1610,115.0,16.29,266,1610,115.0,19.0
2728320,"Pierz Public School District, Minnesota",27,28320,2728320,2300,58750,3016,390,2039,88.65,16.96,483,2039,88.65,21.0
2728350,"Pillager Public School District, Minnesota",27,28350,2728350,1500,65490,4279,252,2226,148.4,16.8,343,2226,148.4,22.87
2728380,"Pine City Public School District, Minnesota",27,28380,2728380,2100,52857,3561,673,4066,193.62,32.05,951,4066,193.62,45.29
2728950,"Pine Island Public School District, Minnesota",27,28950,2728950,1200,75500,7720,167,2486,207.17,13.92,290,2486,207.17,24.17
2728970,"Pine River-Backus Public School District, Minnesota",27,28970,2728970,2700,47398,1667,487,3312,122.67,18.04,593,3312,122.67,21.96
2730030,"Princeton Public School District, Minnesota",27,30030,2730030,2900,70664,4206,746,7419,255.83,25.72,1089,7419,255.83,37.55
2730060,"Prior Lake-Savage Area Schools, Minnesota",27,30060,2730060,3300,108621,4248,591,15880,481.21,17.91,1098,15880,481.21,33.27
2730090,"Proctor Public School District, Minnesota",27,30090,2730090,2300,66959,5286,662,5281,229.61,28.78,874,5281,229.61,38.0
2730150,"Randolph Public School District, Minnesota",27,30150,2730150,1000,89554,5723,60,879,87.9,6.0,115,879,87.9,11.5
2730870,"Northland Community Schools, Minnesota",27,30870,2730870,2400,44496,3514,363,2259,94.12,15.12,527,2259,94.12,21.96
